Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,250.0,250.0,250.0,250.0
153.94,250.0,251.03,250.09,251.03
293.94,250.0,251.99,250.22,251.99
433.94,250.0,252.95,250.39,252.95
583.94,250.0,253.97,250.59,253.97
723.94,250.0,254.94,250.8,254.94
873.94,250.01,255.97,251.05,255.97
1013.9,250.03,256.93,251.29,256.93
1153.9,250.05,257.89,251.55,257.89
1303.9,250.08,258.93,251.85,258.93
1443.9,250.13,259.89,252.14,259.89
1593.9,250.18,260.92,252.46,260.92
1733.9,250.25,261.89,252.77,261.89
1873.9,250.33,262.85,253.09,262.85
2023.9,250.42,263.89,253.45,263.89
2163.9,250.53,264.85,253.79,264.85
2313.9,250.65,265.88,254.17,265.88
2453.9,250.78,266.85,254.54,266.85
2593.9,250.92,267.81,254.91,267.81
2743.9,251.09,268.85,255.33,268.85
2883.9,251.26,269.81,255.72,269.81
3033.9,251.45,270.85,256.15,270.85
3173.9,251.64,271.81,256.57,271.81
3313.9,251.85,272.78,256.99,272.78
3463.9,252.08,273.81,257.45,273.81
3603.9,252.31,274.78,257.89,274.78
3753.9,252.57,275.82,258.37,275.82
3893.9,252.82,276.78,258.83,276.78
4033.9,253.08,277.75,259.29,277.75
4183.9,253.38,278.78,259.8,278.78
4323.9,253.67,279.75,260.28,279.75
4473.9,253.99,280.79,260.8,280.79
4613.9,254.29,281.75,261.3,281.75
4753.9,254.61,282.72,261.8,282.72
4903.9,254.97,283.76,262.35,283.76
5043.9,255.3,284.72,262.87,284.72
5193.9,255.68,285.76,263.44,285.76
5333.9,256.04,286.73,263.97,286.73
5473.9,256.41,287.69,264.51,287.69
5623.9,256.81,288.73,265.1,288.73
5763.9,257.2,289.7,265.65,289.7
5913.9,257.63,290.73,266.25,290.73
6053.9,258.04,291.7,266.82,291.7
6193.9,258.45,292.67,267.39,292.67
6343.9,258.91,293.7,268.01,293.7
6483.9,259.34,294.67,268.6,294.67
6633.9,259.81,295.72,269.22,295.72
6773.9,260.26,296.68,269.8,296.68
6913.9,260.71,297.65,270.38,297.65
7063.9,261.2,298.69,271.02,298.69
7203.9,261.67,299.66,271.62,299.66
7353.9,262.17,300.69,272.27,300.69
7493.9,262.65,301.66,272.89,301.66
7633.9,263.14,302.63,273.51,302.63
7783.9,263.67,303.67,274.18,303.67
7923.9,264.17,304.64,274.81,304.64
8073.9,264.71,305.67,275.49,305.67
8213.9,265.23,306.64,276.14,306.64
8353.9,265.75,307.61,276.78,307.61
8503.9,266.31,308.65,277.48,308.65
8643.9,266.85,309.62,278.14,309.62
8793.9,267.43,310.65,278.85,310.65
8933.9,267.98,311.62,279.52,311.62
9073.9,268.53,312.59,280.19,312.59
9223.9,269.13,313.63,280.92,313.63
9363.9,269.7,314.6,281.6,314.6
9513.9,270.32,315.64,282.33,315.64
9653.9,270.9,316.61,283.02,316.61
9793.9,271.48,317.57,283.72,317.57
9943.9,272.12,318.61,284.47,318.61
10084.0,272.72,319.58,285.17,319.58
10234.0,273.36,320.62,285.93,320.62
10374.0,273.97,321.59,286.64,321.59
10514.0,274.59,322.56,287.36,322.56
10664.0,275.25,323.6,288.13,323.6
10804.0,275.88,324.57,288.85,324.57
10954.0,276.56,325.61,289.63,325.61
11094.0,277.19,326.58,290.36,326.58
11234.0,277.84,327.54,291.1,327.54
11384.0,278.53,328.58,291.89,328.58
11524.0,279.18,329.55,292.63,329.55
11674.0,279.89,330.59,293.43,330.59
11814.0,280.55,331.56,294.18,331.56
11954.0,281.22,332.53,294.94,332.53
12104.0,281.94,333.57,295.75,333.57
12244.0,282.61,334.54,296.51,334.54
12394.0,283.34,335.58,297.32,335.58
12534.0,284.03,336.55,298.09,336.55
12674.0,284.72,337.52,298.86,337.52
12824.0,285.46,338.56,299.69,338.56
12964.0,286.16,339.53,300.46,339.53
13114.0,286.91,340.58,301.29,340.58
13254.0,287.59,341.55,302.03,341.55
13394.0,288.28,342.52,302.79,342.52
13544.0,289.02,343.56,303.6,343.56
13684.0,289.71,344.53,304.36,344.53
13834.0,290.45,345.57,305.19,345.57
13974.0,291.15,346.54,305.96,346.54
14114.0,291.86,347.51,306.73,347.51
14264.0,292.61,348.55,307.56,348.55
14400.0,293.3,349.49,308.32,349.49
